time,users,queue
329.1155221036582,4.0,35.0
332.3267601860324,4.0,36.0
334.12271452318987,3.0,36.0
334.12271452318987,4.0,35.0
336.05631332548256,3.0,35.0
336.05631332548256,4.0,34.0
339.57418990212886,4.0,35.0
340.8876124127067,3.0,35.0
340.8876124127067,4.0,34.0
340.9806531823062,4.0,35.0
343.270586544704,4.0,36.0
345.01462620622937,3.0,36.0
345.01462620622937,4.0,35.0
345.0897139811075,3.0,35.0
345.0897139811075,4.0,34.0
345.78389563454886,4.0,35.0
345.94541251906656,4.0,36.0
347.17480946850105,3.0,36.0
347.17480946850105,4.0,35.0
348.37041483730496,3.0,35.0
348.37041483730496,4.0,34.0
348.6845966248728,4.0,35.0
350.9685092879066,3.0,35.0
350.9685092879066,4.0,34.0
353.62574170077204,4.0,35.0
354.2886586563359,3.0,35.0
354.2886586563359,4.0,34.0
355.8734496413882,4.0,35.0
357.09261567289803,3.0,35.0
357.09261567289803,4.0,34.0
358.01986830617113,4.0,35.0
358.3666339906921,3.0,35.0
358.3666339906921,4.0,34.0
360.6332011783195,3.0,34.0
360.6332011783195,4.0,33.0
361.4896499296137,4.0,34.0
362.4989599134275,3.0,34.0
362.4989599134275,4.0,33.0
365.52540228240025,4.0,34.0
367.70263414419844,4.0,35.0
370.76653636167384,4.0,36.0
370.81838330023515,3.0,36.0
370.81838330023515,4.0,35.0
371.1910132576196,3.0,35.0
371.1910132576196,4.0,34.0
374.29249786296833,4.0,35.0
376.5607466548454,4.0,36.0
377.1909105473613,3.0,36.0
377.1909105473613,4.0,35.0
379.2613553606814,4.0,36.0
380.383476711694,4.0,37.0
380.7699804887392,3.0,37.0
380.7699804887392,4.0,36.0
382.01417658868706,4.0,37.0
384.20910297876935,3.0,37.0
384.20910297876935,4.0,36.0
386.8030701169866,4.0,37.0
386.94285480097994,3.0,37.0
386.94285480097994,4.0,36.0
387.22423420033743,3.0,36.0
387.22423420033743,4.0,35.0
391.59223536886276,4.0,36.0
394.6998448439108,3.0,36.0
394.6998448439108,4.0,35.0
399.25845110552495,4.0,36.0
400.3844153913599,3.0,36.0
400.3844153913599,4.0,35.0
400.61556144437196,4.0,36.0
402.2664785197926,4.0,37.0
403.2888564389428,4.0,38.0
405.2799616416864,4.0,39.0
407.60750704543284,3.0,39.0
407.60750704543284,4.0,38.0
410.10437137097773,4.0,39.0
411.415248491891,3.0,39.0
411.415248491891,4.0,38.0
411.6202301608534,3.0,38.0
411.6202301608534,4.0,37.0
413.7022951700914,4.0,38.0
414.36079349601795,4.0,39.0
418.0497338302776,4.0,40.0
419.02234245349456,4.0,41.0
420.77021213576216,4.0,42.0
420.82965407241807,3.0,42.0
420.82965407241807,4.0,41.0
422.1301265028414,3.0,41.0
422.1301265028414,4.0,40.0
423.39426736892943,4.0,41.0
423.69727423658156,4.0,42.0
428.0592936942023,4.0,43.0
428.1898092885453,4.0,44.0
431.2801570220212,4.0,45.0
432.8336899325137,4.0,46.0
433.5722478541437,4.0,47.0
438.4323219383838,4.0,48.0
439.49438584454145,4.0,49.0
440.6843564413907,4.0,50.0
441.4449466056357,3.0,50.0
441.4449466056357,4.0,49.0
442.15970727535114,3.0,49.0
442.15970727535114,4.0,48.0
442.58409055093296,3.0,48.0
442.58409055093296,4.0,47.0
443.38053211005234,4.0,48.0
447.0862932734838,4.0,49.0
447.3210619633537,4.0,50.0
449.6833133464874,4.0,51.0
450.735409673023,3.0,51.0
450.735409673023,4.0,50.0
453.7248698210835,3.0,50.0
453.7248698210835,4.0,49.0
454.3087606742962,4.0,50.0
456.37453792475844,3.0,50.0
456.37453792475844,4.0,49.0
457.57720440387874,3.0,49.0
457.57720440387874,4.0,48.0
461.3839624694286,4.0,49.0
462.9197661381278,3.0,49.0
462.9197661381278,4.0,48.0
462.96395008357104,3.0,48.0
462.96395008357104,4.0,47.0
466.4049196637048,4.0,48.0
466.4985311051096,3.0,48.0
466.4985311051096,4.0,47.0
470.5990127328132,4.0,48.0
471.16379435117767,3.0,48.0
471.16379435117767,4.0,47.0
471.34876511658223,3.0,47.0
471.34876511658223,4.0,46.0
471.9051156564245,3.0,46.0
471.9051156564245,4.0,45.0
476.1552484692979,3.0,45.0
476.1552484692979,4.0,44.0
480.619961273175,4.0,45.0
480.8566373487909,4.0,46.0
482.72538955061793,3.0,46.0
482.72538955061793,4.0,45.0
484.8341536787498,4.0,46.0
485.13078986452024,4.0,47.0
485.3613475910735,3.0,47.0
485.3613475910735,4.0,46.0
487.1621453498122,4.0,47.0
489.0262057454422,3.0,47.0
489.0262057454422,4.0,46.0
489.06220697048025,4.0,47.0
489.48583146832357,4.0,48.0
492.72970378156265,4.0,49.0
492.91054679296764,3.0,49.0
492.91054679296764,4.0,48.0
493.26966748216864,3.0,48.0
493.26966748216864,4.0,47.0
495.06031322617287,4.0,48.0
496.3291826091448,4.0,49.0
496.80208162121335,3.0,49.0
496.80208162121335,4.0,48.0
496.93544437513833,3.0,48.0
496.93544437513833,4.0,47.0
498.3309479242502,4.0,48.0
500.3692812802558,4.0,49.0
500.82103106344215,4.0,50.0
501.3567116993604,3.0,50.0
501.3567116993604,4.0,49.0
502.45187628569795,4.0,50.0
503.5686995630955,3.0,50.0
503.5686995630955,4.0,49.0
503.57274968582857,4.0,50.0
505.25951138327173,3.0,50.0
505.25951138327173,4.0,49.0
507.3911817081373,4.0,50.0
511.2555198191623,3.0,50.0
511.2555198191623,4.0,49.0
512.6097677377043,4.0,50.0
515.9834035264195,3.0,50.0
515.9834035264195,4.0,49.0
518.1195306864624,3.0,49.0
518.1195306864624,4.0,48.0
518.8949679460959,4.0,49.0
520.8711319187705,3.0,49.0
520.8711319187705,4.0,48.0
521.2632624984203,3.0,48.0
521.2632624984203,4.0,47.0
525.2001101304237,4.0,48.0
529.9073230342564,3.0,48.0
529.9073230342564,4.0,47.0
530.3065979977279,4.0,48.0
530.540524575753,3.0,48.0
530.540524575753,4.0,47.0
533.4922155176187,4.0,48.0
535.6202676795193,3.0,48.0
535.6202676795193,4.0,47.0
540.4608824576361,3.0,47.0
540.4608824576361,4.0,46.0
542.1592337651679,3.0,46.0
542.1592337651679,4.0,45.0
542.1992580397539,4.0,46.0
542.7484554494321,4.0,47.0
544.3314907794705,4.0,48.0
545.6454807902762,3.0,48.0
545.6454807902762,4.0,47.0
546.7398232077383,4.0,48.0
546.7893582989041,4.0,49.0
549.8874574207691,3.0,49.0
