name,come,wait,begin,finish,t_relax_time
doc274,780.5135445991175,0.0,780.5135445991175,784.9262146036621,78.94931964265717
doc275,781.1490393152728,0.8395775073780669,781.9886168226509,786.5994730504001,76.40906865102102
doc276,786.1707324656222,0.0,786.1707324656222,788.7150106502878,78.25326241732836
doc277,786.5372853738947,0.062187676505345735,786.5994730504001,791.7760611683075,76.9436698247579
doc278,789.0503225693799,0.0,789.0503225693799,794.5693293669241,84.05891893293683
doc279,792.2978696840338,0.0,792.2978696840338,794.8615416542498,83.44559784748088
doc280,793.0690180704477,1.5003112964764114,794.5693293669241,797.8611267853398,84.06877127633872
doc281,793.3464611121931,1.515080542056694,794.8615416542498,797.301612689139,85.18054137767355
doc282,795.0029863121019,2.298626377037067,797.301612689139,803.2751057397692,77.68798024487755
doc283,796.0902227819798,1.7709040033599877,797.8611267853398,804.9698120374634,81.34996385938433
doc284,805.7856913080157,0.0,805.7856913080157,808.9751703540468,81.87757206464165
doc285,806.4039323369399,0.0,806.4039323369399,808.690769431104,79.56569687649879
doc286,812.130813534843,0.0,812.130813534843,815.2667554719967,82.76180358877274
doc287,815.4611742397028,0.0,815.4611742397028,819.9839683748065,74.59554266447914
doc288,825.8136909609319,0.0,825.8136909609319,828.8885371281865,83.76908621750172
doc289,830.8889800308677,0.0,830.8889800308677,837.8282425322334,84.68209563701559
doc290,836.420202551183,0.0,836.420202551183,839.1163242670425,85.42699978866072
doc291,837.2405960113352,0.5876465208981472,837.8282425322334,840.1584538485776,71.30950611475231
doc292,844.6979075635321,0.0,844.6979075635321,847.3892506751739,82.74178298470018
doc293,845.2068048286873,0.0,845.2068048286873,848.1167652809506,74.37201988850724
doc294,856.0050427406251,0.0,856.0050427406251,859.0202566703155,79.51438355038674
doc295,856.5301273465177,0.0,856.5301273465177,859.6698671905193,76.44169754172589
doc296,860.7815665513302,0.0,860.7815665513302,863.449584808256,80.4467971578475
doc297,860.9795263278364,0.0,860.9795263278364,865.2979913006792,81.08987747362056
doc298,863.1437463340824,0.30583847417358356,863.449584808256,865.8478022475028,82.57606639341053
doc299,864.2182705143681,1.6295317331347405,865.8478022475028,869.1336358726177,83.51585831239122
doc300,865.0448460615995,0.2531452390796858,865.2979913006792,871.4661504102227,73.07130881563134
doc301,872.3893226966279,0.0,872.3893226966279,874.7492224088583,74.2739727415732
doc302,873.2851391658265,0.0,873.2851391658265,877.8273442628268,81.40330517512938
doc303,879.3435187109989,0.0,879.3435187109989,885.5903633236994,77.75580131891041
doc304,884.1017913815264,0.0,884.1017913815264,888.241705057311,86.01971174820423
doc305,886.6883681405574,0.0,886.6883681405574,894.3989013546045,76.62148014777182
doc306,886.7614047413256,1.4803003159854597,888.241705057311,890.4138343720084,83.44042392943034
doc307,894.3840645293847,0.0,894.3840645293847,897.128569522346,83.3087382732572
doc308,896.3645438543961,0.0,896.3645438543961,898.7509950490967,79.275303705494
